fev_l,,,,,
2020-02-02,发烧,湖北省,746,112,634
2020-02-03,发烧,湖北省,662,85,577
2020-02-04,发烧,湖北省,694,104,590
2020-02-05,发烧,湖北省,606,85,521
2020-02-06,发烧,湖北省,536,97,439
2020-02-07,发烧,湖北省,564,110,454
2020-02-08,发烧,湖北省,533,97,436
2020-02-09,发烧,湖北省,541,112,429
2020-02-10,发烧,湖北省,544,112,432
2020-02-11,发烧,湖北省,478,87,391
2020-02-12,发烧,湖北省,428,83,345
2020-02-13,发烧,湖北省,460,83,377
2020-02-14,发烧,湖北省,454,78,376
2020-02-15,发烧,湖北省,342,68,274
2020-02-16,发烧,湖北省,335,78,257
2020-02-17,发烧,湖北省,331,83,248
2020-02-18,发烧,湖北省,352,72,280
2020-02-19,发烧,湖北省,353,76,277
2020-02-20,发烧,湖北省,295,66,229
2020-02-21,发烧,湖北省,331,85,246
2020-02-22,发烧,湖北省,320,72,248
2020-02-23,发烧,湖北省,358,76,282
2020-02-24,发烧,湖北省,372,74,298
2020-02-25,发烧,湖北省,353,87,266
2020-02-26,发烧,湖北省,321,76,245
2020-02-27,发烧,湖北省,311,83,228
2020-02-28,发烧,湖北省,274,66,208
2020-02-29,发烧,湖北省,275,64,211
2020-03-01,发烧,湖北,275,64,211
